"Ano";"Tipo de Emenda";"Autor da emenda";"Número da emenda";"Localidade do gasto (Regionalização)";"Função";"Subfunção";"Programa Orçamentário";"Ação Orçamentária";"Plano Orçamentário";"Código da emenda";"Valor empenhado";"Valor liquidado";"Valor pago";"Valor Restos a Pagar Inscritos";"Valor Restos a Pagar Cancelados";"Valor Restos a Pagar Pagos";
"2022";"Emenda Individual - Transferências Especiais";"MARCIO ALVINO";"0006";"SÃO PAULO (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202237170006";"100.000,00";"0,00";"0,00";"100.000,00";"0,00";"100.000,00";
"2024";"Emenda Individual - Transferências Especiais";"JUNIO AMARAL";"0016";"MINAS GERAIS (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202439240016";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências Especiais";"JOAQUIM PASSARINHO";"0014";"PARÁ (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202436920014";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"VINICIUS FARAH";"0023";"PATY DO ALFERES - RJ";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202240750023";"100.000,00";"0,00";"0,00";"100.000,00";"0,00";"100.000,00";
"2023";"Emenda Individual - Transferências Especiais";"SERGIO PETECAO";"0008";"Nacional";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202329140008";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências Especiais";"ROBERTA ROMA";"0001";"BAHIA (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202444620001";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"EDILAZIO JUNIOR";"0008";"CODÓ - MA";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202239680008";"100.000,00";"0,00";"0,00";"100.000,00";"0,00";"100.000,00";
"2024";"Emenda Individual - Transferências Especiais";"PASTOR DINIZ";"0012";"RORAIMA (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202444410012";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"VINICIUS FARAH";"0003";"PINHEIRAL - RJ";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202240750003";"100.000,00";"0,00";"0,00";"100.000,00";"0,00";"100.000,00";
"2024";"Emenda Individual - Transferências Especiais";"ROBINSON FARIA";"0011";"NATAL - RN";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202444650011";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências Especiais";"ROBERIO MONTEIRO";"0017";"MORADA NOVA - CE";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202491620017";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual - Transferências Especiais";"GENERAL PETERNELLI";"0016";"ITAPIRA - SP";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202339950016";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"SUBTENENTE GONZAGA";"0004";"MINAS GERAIS (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202229940004";"100.000,00";"0,00";"0,00";"100.000,00";"0,00";"100.000,00";
"2022";"Emenda Individual - Transferências Especiais";"JOAQUIM PASSARINHO";"0007";"PARÁ (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202236920007";"100.000,00";"0,00";"0,00";"100.000,00";"0,00";"100.000,00";
"2023";"Emenda Individual - Transferências Especiais";"ALAN RICK";"0021";"ACRE (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202330360021";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"JEFFERSON CAMPOS";"0020";"ÁGUAS DE SÃO PEDRO - SP";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202215810020";"100.000,00";"0,00";"0,00";"100.000,00";"0,00";"100.000,00";
"2023";"Emenda Individual - Transferências Especiais";"FABIO RAMALHO";"0014";"ARAÇUAÍ - MG";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202323680014";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"PR. MARCO FELICIANO";"0011";"SERRANA - SP";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202228120011";"139.365,00";"0,00";"0,00";"139.365,00";"0,00";"139.365,00";
"2024";"Emenda Individual - Transferências Especiais";"VINICIUS CARVALHO";"0005";"SÃO PAULO (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202425170005";"150.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual - Transferências Especiais";"JOAO DANIEL";"0011";"PEDRA MOLE - SE";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202336910011";"150.000,00";"150.000,00";"150.000,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"VINICIUS FARAH";"0005";"SÃO JOSÉ DO VALE DO RIO PRETO - RJ";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202240750005";"150.000,00";"0,00";"0,00";"150.000,00";"0,00";"150.000,00";
"2023";"Emenda Individual - Transferências Especiais";"MAILZA GOMES";"0005";"RIO BRANCO - AC";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202338920005";"150.000,00";"150.000,00";"150.000,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"JOSE RICARDO";"0008";"AMAZONAS (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202241090008";"150.000,00";"0,00";"0,00";"150.000,00";"0,00";"150.000,00";
"2024";"Emenda Individual - Transferências Especiais";"FRED COSTA";"0009";"MINAS GERAIS (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202439910009";"150.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"CAPITAO ALBERTO NETO";"0002";"HUMAITÁ - AM";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202239260002";"150.000,00";"0,00";"0,00";"150.000,00";"0,00";"150.000,00";
"2022";"Emenda Individual - Transferências Especiais";"PEDRO WESTPHALEN";"0020";"MATO QUEIMADO - RS";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202241680020";"150.000,00";"150.000,00";"150.000,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"ALAN RICK";"0011";"ACRE (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202230360011";"150.000,00";"0,00";"0,00";"150.000,00";"0,00";"150.000,00";
"2024";"Emenda Individual - Transferências Especiais";"BIA KICIS";"0003";"Nacional";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202439190003";"150.000,00";"85.589,23";"85.589,23";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"LUIZ LIMA";"0009";"RIO DE JANEIRO (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202241580009";"150.000,00";"0,00";"0,00";"150.000,00";"0,00";"150.000,00";
"2022";"Emenda Individual - Transferências Especiais";"VALMIR ASSUNCAO";"0002";"Nacional";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202227500002";"150.000,00";"0,00";"0,00";"150.000,00";"0,00";"150.000,00";
"2022";"Emenda Individual - Transferências Especiais";"NICOLETTI";"0007";"CARACARAÍ - RR";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202241640007";"150.000,00";"0,00";"0,00";"150.000,00";"0,00";"150.000,00";
"2022";"Emenda Individual - Transferências Especiais";"MISAEL VARELLA";"0020";"SÃO SEBASTIÃO DA VARGEM ALEGRE - MG";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202237310020";"150.000,00";"0,00";"0,00";"150.000,00";"0,00";"150.000,00";
"2022";"Emenda Individual - Transferências Especiais";"PEDRO WESTPHALEN";"0001";"GUARANI DAS MISSÕES - RS";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202241680001";"150.000,00";"150.000,00";"150.000,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"LOESTER TRUTIS";"0010";"MATO GROSSO DO SUL (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202240320010";"151.733,00";"151.733,00";"151.733,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual - Transferências Especiais";"RODRIGO COELHO";"0007";"GARUVA - SC";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202341290007";"162.920,00";"162.920,00";"162.920,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual - Transferências Especiais";"DRA. VANDA MILANI";"0009";"ACRE (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202339670009";"162.920,00";"162.920,00";"162.920,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual - Transferências Especiais";"ALINE GURGEL";"0003";"MACAPÁ - AP";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202339100003";"162.920,00";"162.920,00";"162.920,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual - Transferências Especiais";"ELI CORREA FILHO";"0008";"SALTO DE PIRAPORA - SP";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202327990008";"162.920,00";"162.920,00";"162.920,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual - Transferências Especiais";"RUI FALCAO";"0006";"ELISEU MARTINS - PI";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202390320006";"162.920,00";"162.920,00";"162.920,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual - Transferências Especiais";"DRA. VANDA MILANI";"0008";"ACRE (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202339670008";"164.549,00";"164.549,00";"164.549,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"PROFESSORA MARCIVANIA";"0004";"SANTANA - AP";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202226750004";"180.000,00";"180.000,00";"180.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual - Transferências Especiais";"MAJOR VITOR HUGO";"0020";"GOIÁS (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202340370020";"188.762,00";"188.762,00";"188.762,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual - Transferências Especiais";"MAJOR VITOR HUGO";"0022";"GOIÁS (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202340370022";"188.762,00";"188.762,00";"188.762,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências Especiais";"TABATA AMARAL";"0023";"SÃO PAULO (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202441320023";"200.000,00";"114.118,98";"114.118,98";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"JULIO CESAR";"0021";"PAVUSSU - PI";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202212460021";"200.000,00";"0,00";"0,00";"200.000,00";"0,00";"200.000,00";
"2022";"Emenda Individual - Transferências Especiais";"JULIO CESAR";"0004";"NOSSA SENHORA DE NAZARÉ - PI";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202212460004";"200.000,00";"200.000,00";"200.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências Especiais";"ROBINSON FARIA";"0004";"NATAL - RN";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202444650004";"200.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências Especiais";"CARLOS SAMPAIO";"0019";"SÃO PAULO (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202415270019";"200.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"JULIO CESAR";"0008";"BERTOLÍNIA - PI";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202212460008";"200.000,00";"200.000,00";"200.000,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"STEFANO AGUIAR";"0019";"ITAGUARA - MG";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202229240019";"200.000,00";"0,00";"0,00";"200.000,00";"0,00";"200.000,00";
"2022";"Emenda Individual - Transferências Especiais";"ALAN RICK";"0020";"ACRE (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202230360020";"200.000,00";"0,00";"0,00";"200.000,00";"0,00";"200.000,00";
"2024";"Emenda Individual - Transferências Especiais";"DELEGADO MATHEUS LAIOLA";"0009";"PATO BRANCO - PR";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202443480009";"200.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual - Transferências Especiais";"GLEISI HOFFMANN";"0008";"PONTAL DO PARANÁ - PR";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202340110008";"200.000,00";"200.000,00";"200.000,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"PROFESSOR JOZIEL";"0013";"ITAOCARA - RJ";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202240590013";"200.000,00";"0,00";"0,00";"200.000,00";"0,00";"200.000,00";
"2022";"Emenda Individual - Transferências Especiais";"JULIO CESAR";"0016";"COCAL DE TELHA - PI";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202212460016";"200.000,00";"0,00";"0,00";"200.000,00";"0,00";"200.000,00";
"2022";"Emenda Individual - Transferências Especiais";"JOAO DANIEL";"0003";"INDIAROBA - SE";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202236910003";"200.000,00";"0,00";"0,00";"200.000,00";"0,00";"200.000,00";
"2024";"Emenda Individual - Transferências Especiais";"ZUCCO";"0008";"RIO GRANDE DO SUL (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202444840008";"200.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"JOSE NELTO";"0004";"GOIÁS (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202240230004";"200.000,00";"200.000,00";"200.000,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"PEDRO WESTPHALEN";"0002";"CANGUÇU - RS";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202241680002";"200.000,00";"200.000,00";"200.000,00";"0,00";"0,00";"0,00";
