"Ano";"Tipo de Emenda";"Autor da emenda";"Número da emenda";"Localidade do gasto (Regionalização)";"Função";"Subfunção";"Programa Orçamentário";"Ação Orçamentária";"Plano Orçamentário";"Código da emenda";"Valor empenhado";"Valor liquidado";"Valor pago";"Valor Restos a Pagar Inscritos";"Valor Restos a Pagar Cancelados";"Valor Restos a Pagar Pagos";
"2023";"Emenda Individual - Transferências Especiais";"GELSON AZEVEDO";"0001";"RIO DE JANEIRO (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202339930001";"7.229.209,00";"7.229.209,00";"7.229.209,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"DANIEL TRZECIAK";"0009";"Sul";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202239510009";"7.244.682,00";"3.622.341,00";"3.622.341,00";"3.622.341,00";"0,00";"3.622.341,00";
"2024";"Emenda Individual - Transferências Especiais";"RUY CARNEIRO";"0014";"PARAÍBA (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202427150014";"7.250.000,00";"4.136.812,85";"4.136.812,85";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências Especiais";"ALFREDO GASPAR";"0005";"ALAGOAS (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202442960005";"7.288.592,00";"4.158.833,24";"4.158.833,24";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"HERMES PARCIANELLO";"0007";"PARANÁ (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202232200007";"7.289.682,00";"3.644.841,00";"3.644.841,00";"3.644.841,00";"0,00";"3.644.841,00";
"2024";"Emenda Individual - Transferências Especiais";"IZA ARRUDA";"0001";"PERNAMBUCO (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202443960001";"7.297.235,00";"4.163.764,89";"4.163.764,89";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"CAPITAO WAGNER";"0005";"CEARÁ (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202239270005";"7.299.682,00";"3.649.841,00";"3.649.841,00";"3.649.841,00";"0,00";"3.649.841,00";
"2022";"Emenda Individual - Transferências Especiais";"NEREU CRISPIM";"0001";"RIO GRANDE DO SUL (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202241210001";"7.300.000,00";"3.340.500,00";"3.340.500,00";"3.959.500,00";"0,00";"3.959.500,00";
"2023";"Emenda Individual - Transferências Especiais";"MISAEL VARELLA";"0004";"MINAS GERAIS (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202337310004";"7.304.897,00";"7.304.897,00";"7.304.897,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual - Transferências Especiais";"JORGE BRAZ";"0002";"RIO DE JANEIRO (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202341520002";"7.309.694,00";"7.309.694,00";"7.309.694,00";"0,00";"0,00";"0,00";
